timestamp,bid,ask,imbalance,quoted_spread,bid_q,ask_q,inventory,pnl,pnl_base
1767079284222201697,9730,9735,-0.8888888888888888,5,9725,9730,3,-587.5,0.0
1767079285221497153,9725,9745,0.3333333333333333,10,9730,9740,3,-580.0,0.0
1767079286201772646,9720,9735,-0.5,10,9720,9730,3,-602.5,0.0
1767079286201772646,9720,9735,-0.5,10,9720,9730,3,-602.5,0.0
1767079288224115300,9700,9715,0.9772727272727273,0,9715,9715,4,-670.0,0.0
1767079289220086423,9700,9710,0.9518072289156626,0,9710,9710,5,-685.0,0.0
1767079290215929833,9700,9720,0.8352941176470589,9720,0,9720,5,-660.0,0.0
1767079291221813502,9700,9725,0.8095238095238095,9725,0,9725,5,-647.5,0.0
1767079292215075571,9700,9710,0.9759036144578314,9710,0,9710,5,-685.0,0.0
1767079293223428364,9700,9715,0.9016393442622951,9715,0,9715,5,-672.5,0.0
1767079294190506584,9705,9720,-0.6896551724137931,9705,0,9705,4,-655.0,0.0
1767079295199399282,9735,9740,0.6363636363636364,0,9740,9740,5,-557.5,0.0
1767079296207526376,9780,9790,0.7142857142857143,9790,0,9790,5,-320.0,0.0
1767079297224412036,9765,9785,-0.3333333333333333,9780,0,9780,5,-370.0,0.0
1767079298210503136,9790,9800,-0.7894736842105263,9790,0,9790,4,-275.0,0.0
1767079300223462570,9795,9800,-0.4782608695652174,5,9795,9800,4,-265.0,0.0
1767079302222284793,9760,9780,0.9047619047619048,0,9780,9780,5,-385.0,0.0
1767079303175264295,9765,9785,-0.14285714285714285,9780,0,9780,5,-360.0,0.0
1767079304220280324,9760,9785,-0.058823529411764705,9775,0,9775,5,-372.5,0.0
1767079305216817414,9730,9760,-0.2631578947368421,9750,0,9750,5,-510.0,0.0
1767079306217936071,9730,9755,-0.75,9730,0,9730,4,-535.0,0.0
1767079307223404256,9720,9740,0.6,10,9725,9735,4,-585.0,0.0
1767079308223637715,9755,9780,-0.16666666666666666,5,9765,9770,4,-435.0,0.0
